customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,min,max,routine_flg,calc_date,membership_period
OA832399,XXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.833333333333333,5.0,2,8,1,2019-04-30,1460 days
PL270116,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,5.083333333333333,5.0,3,7,1,2019-04-30,1460 days
OA974876,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,4.583333333333333,5.0,3,6,1,2019-04-30,1460 days
HD024127,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.833333333333333,4.5,2,7,1,2019-04-30,1460 days
HD661448,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,3.9166666666666665,4.0,1,6,1,2019-04-30,1460 days
IK271057,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,3.75,3.5,2,5,1,2019-04-30,1460 days
HI324666,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,3.9166666666666665,3.5,2,7,1,2019-04-30,1460 days
AS647421,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.5,4.0,2,9,1,2019-04-30,1460 days
AS069821,XXXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,4.083333333333333,3.5,2,7,1,2019-04-30,1460 days
GD039425,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.666666666666667,4.5,3,7,1,2019-04-30,1460 days
OA789036,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,4.75,5.0,1,7,1,2019-04-30,1460 days
AS058623,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,4.5,5.0,3,6,1,2019-04-30,1460 days
AS857207,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,4.5,5.0,2,8,1,2019-04-30,1460 days
AS625883,XXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,4.75,5.0,2,6,1,2019-04-30,1460 days
HD782984,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,4.833333333333333,5.0,2,7,1,2019-04-30,1460 days
